ProductId,Name,CreationDate,Suppliers,Category,CommandId,Total,Rating,UserId,InvoiceId,InvoiceDate,Continent
631,Shoes,1555951336788,Oberbrunner LLC Group,Grocery,1,12320€,0.86,504,234,1569981548120,Europe
631,Shoes,1555951336788,Oberbrunner LLC Group,Grocery,1,12320€,0.86,504,652,1605178091217,Asia
631,Shoes,1555951336788,Oberbrunner LLC Group,Grocery,1,12320€,0.63,629,214,1426822235368,Europe
631,Shoes,1555951336788,Oberbrunner LLC Group,Grocery,1,12320€,0.63,629,188,1451186095981,Asia
631,Shoes,1555951336788,Oberbrunner LLC Group,Grocery,1,12320€,4.17,880,819,1605172780933,Europe
67,Sausages,1614155331254,Crist and Sons Group,Movies,3,1794€,1.28,400,53,1392827042174,America
67,Sausages,1614155331254,Crist and Sons Group,Movies,3,1794€,1.28,400,534,1525942541745,Africa
67,Sausages,1614155331254,Crist and Sons Group,Movies,3,1794€,1.28,400,439,1592559997816,Europe
67,Sausages,1614155331254,Crist and Sons Group,Movies,3,1794€,2.44,876,742,1511433674279,America
67,Sausages,1614155331254,Crist and Sons Group,Movies,3,1794€,2.44,876,229,1578732345807,Europe
67,Sausages,1614155331254,Crist and Sons Group,Movies,3,1794€,2.44,876,144,1620372004984,Oceania
378,Pizza,1449972360904,"Walsh, Bradtke and Roob Group",Jewelery,7,392€,4.84,227,477,1483461450289,America
378,Pizza,1449972360904,"Walsh, Bradtke and Roob Group",Jewelery,7,392€,4.84,227,169,1603185314935,America
378,Pizza,1449972360904,"Walsh, Bradtke and Roob Group",Jewelery,7,392€,4.84,227,968,1649349201432,Africa
378,Pizza,1449972360904,"Walsh, Bradtke and Roob Group",Jewelery,7,392€,4.26,364,94,1464556217394,Asia
469,Bike,1605393797037,Feil - Kovacek Group,Automotive,12,2632€,4.64,147,39,1444381593363,Africa
897,Pizza,1643552207971,"Grimes, Grady and Friesen and Sons",Grocery,13,2720€,3.27,219,432,1418219149510,America
399,Bacon,1578003415268,"Torp, Schaden and Bauch and Sons",Books,16,1716€,0.14,480,56,1644906391200,America
